Year,Month,Brand,Deployed,Delivered,Base,Buyers,Sales,Conversion,ATS,Spend,CPA,Overall Retail Buyer Contribution,Overall Retail Sales Contribution,Cross Channel Base,Cross Channel Buyers,Cross Channel Conversion
2024,August,Fastrack ,10000,9000,5000,300,100000,6.0%, 20 ,6300, 21 ,4%,4%,2000,50,2.50%
2024,September,Fastrack ,11000,10000,5500,400,120000,7.3%, 22 ,7000, 18 ,5%,5%,3000,70,2.33%
2024,October,Fastrack ,12000,11000,6000,500,140000,8.3%, 23 ,7700, 15 ,6%,6%,4000,90,2.25%
2024,November,Fastrack ,13000,12000,6500,600,160000,9.2%, 25 ,8400, 14 ,7%,7%,5000,110,2.20%
2023,August,Fastrack ,14000,13000,7000,700,180000,10.0%, 26 ,9100, 13 ,8%,8%,6000,130,2.17%
2023,September,Fastrack ,15000,14000,7500,800,200000,10.7%, 27 ,9800, 12 ,9%,9%,7000,150,2.14%
2023,October,Fastrack ,16000,15000,8000,900,220000,11.3%, 28 ,10500, 12 ,10%,10%,8000,170,2.13%
2023,November,Fastrack ,17000,16000,8500,1000,240000,11.8%, 28 ,11200, 11 ,11%,11%,9000,190,2.11%
2024,August,Helios,18000,17000,9000,1100,260000,12.2%, 29 ,11900, 11 ,12%,12%,10000,210,2.10%
2024,September,Helios,19000,18000,9500,1200,280000,12.6%, 29 ,12600, 11 ,13%,13%,11000,230,2.09%
2024,October,Helios,20000,19000,10000,1300,300000,13.0%, 30 ,13300, 10 ,14%,14%,12000,250,2.08%
2024,November,Helios,21000,20000,10500,1400,320000,13.3%, 30 ,14000, 10 ,15%,15%,13000,270,2.08%
2023,August,Helios,22000,21000,11000,1500,340000,13.6%, 31 ,14700, 10 ,16%,16%,14000,290,2.07%
2023,September,Helios,23000,22000,11500,1600,360000,13.9%, 31 ,15400, 10 ,17%,17%,15000,310,2.07%
2023,October,Helios,24000,23000,12000,1700,380000,14.2%, 32 ,16100, 9 ,18%,18%,16000,330,2.06%
2023,November,Helios,25000,24000,12500,1800,400000,14.4%, 32 ,16800, 9 ,19%,19%,17000,350,2.06%
2024,August,Titan World,26000,25000,13000,1900,420000,14.6%, 32 ,17500, 9 ,20%,20%,18000,370,2.06%
2024,September,Titan World,27000,26000,13500,2000,440000,14.8%, 33 ,18200, 9 ,21%,21%,19000,390,2.05%
2024,October,Titan World,28000,27000,14000,2100,460000,15.0%, 33 ,18900, 9 ,22%,22%,20000,410,2.05%
2024,November,Titan World,29000,28000,14500,2200,480000,15.2%, 33 ,19600, 9 ,23%,23%,21000,430,2.05%
2023,August,Titan World,30000,29000,15000,2300,500000,15.3%, 33 ,20300, 9 ,24%,24%,22000,450,2.05%
2023,September,Titan World,31000,30000,15500,2400,520000,15.5%, 34 ,21000, 9 ,25%,25%,23000,470,2.04%
2023,October,Titan World,32000,31000,16000,2500,540000,15.6%, 34 ,21700, 9 ,26%,26%,24000,490,2.04%
2023,November,Titan World,33000,32000,16500,2600,560000,15.8%, 34 ,22400, 9 ,27%,27%,25000,510,2.04%
